,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
MIZZOU-VINCENT WOOLSEY,2,2,0,0,1,1,1,0,0,0,0,0,0
MIZZOU-JACOB PARKER,1,2,0,0,1,1,1,0,0,0,0,0,0
MIZZOU-NATALIE TEZRICH,0,0,0,0,0,0,1,0,0,0,0,0,0
MIZZOU-RUTHIE POLIO,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-ABBY LUM,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-ERIC REYES,0,0,0,0,0,0,1,0,0,0,0,0,0
MIZZOU-COLE JOST,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-STEPHEN VIGIL,1,0,0,0,2,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,1,0,0,0,0,1,0,0,0,0,0,0,0
MIZZOU-DAVID BECKER,0,0,1,0,0,0,0,0,0,0,0,0,0
MIZZOU-JUSTIN DEWICK,0,0,1,0,0,0,0,0,0,0,0,0,0
MIZZOU-LAFE ARENS,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-80,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0,1
TXST-JOHN MOLINA,0,0,1,0,0,0,0,0,0,1,0,0,0
TXST-KRIS DELAFUENTE,0,0,0,0,0,0,0,0,0,4,0,0,0
TXST-TESS ACOSTA,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-TJ MARTINEZ,0,0,0,0,2,0,0,0,0,0,0,0,0
