,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-KASYE BEVERS,0,0,0,0,0,0,4,0,0,0,0,0,0
TEXAS-SPENCER FORBES,2,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,2,0,0,0,0,1,1,0,0,0,0,0,0
TAMU-ADRIENNE DEMOSS,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,0,0,0,0,1,0,1,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,2,0,0,0,0,0,0,0,0,0,0,0,1
TAMU-KODY FOX,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-JACK MCBRIDE,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,0,0,0,0,1,3,0,0,0,0,0,0,0
