,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TXST-NICK ED,2,0,0,0,1,0,2,0,0,0,0,0,0
TXST-JANETTE GARCIA,0,0,0,0,0,0,2,0,0,0,0,0,0
UTSA-CARSYN DIETZ,0,0,0,0,0,0,2,0,0,0,0,0,0
TXST-CALEB RATLIFF,1,0,0,0,0,0,1,0,0,0,0,0,1
TXST-22,0,0,0,0,0,1,1,0,0,0,0,0,0
TXST-JOHN ALVAREZ,2,0,0,0,2,1,0,0,0,0,0,0,0
TXST-ERIC REYES,1,0,0,0,0,0,0,0,0,0,0,0,1
UTSA-CHUCKY SEPULVEDA,1,1,0,0,0,0,0,0,0,0,0,0,0
UTSA-MATT BLACKWOOD,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,3,0,0,0,0,0,0,0,0,0,0
TXST-CAMBRIE CODY,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-CAMERON OGILVIE,0,0,4,0,0,0,0,0,0,0,0,0,0
TXST-IAN GAONA,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,0,0,0,0,1,0,0,0,0,0,0,0,0
UTSA-ALLIE MESSENGER,0,0,3,0,0,0,0,0,0,0,0,0,0
UTSA-CARLOS PRADO,0,1,0,0,0,0,0,0,0,0,0,0,0
UTSA-DANIEL WILLIAMS,0,0,3,0,0,0,0,0,0,0,0,0,0
UTSA-RENN LEBER,0,2,0,0,1,0,0,0,0,0,1,0,0
TXST-CLAYTON CARLISLE,0,0,0,0,0,1,0,0,0,0,0,0,0
UTSA-TYLER ZREET,0,1,0,0,1,1,0,0,0,0,0,0,0
